case_id,object_id,x_m,y_m,z_m
trace_001,hertzian_dipole_1,0.040,0.170,0.000
trace_001,rx_1,0.080,0.170,0.000
trace_002,hertzian_dipole_1,0.042,0.170,0.000
trace_002,rx_1,0.082,0.170,0.000
trace_003,hertzian_dipole_1,0.044,0.170,0.000
trace_003,rx_1,0.084,0.170,0.000
trace_004,hertzian_dipole_1,0.046,0.170,0.000
trace_004,rx_1,0.086,0.170,0.000
trace_005,hertzian_dipole_1,0.048,0.170,0.000
trace_005,rx_1,0.088,0.170,0.000
trace_006,hertzian_dipole_1,0.050,0.170,0.000
trace_006,rx_1,0.090,0.170,0.000
trace_007,hertzian_dipole_1,0.052,0.170,0.000
trace_007,rx_1,0.092,0.170,0.000
trace_008,hertzian_dipole_1,0.054,0.170,0.000
trace_008,rx_1,0.094,0.170,0.000
trace_009,hertzian_dipole_1,0.056,0.170,0.000
trace_009,rx_1,0.096,0.170,0.000
trace_010,hertzian_dipole_1,0.058,0.170,0.000
trace_010,rx_1,0.098,0.170,0.000
trace_011,hertzian_dipole_1,0.060,0.170,0.000
trace_011,rx_1,0.100,0.170,0.000
trace_012,hertzian_dipole_1,0.062,0.170,0.000
trace_012,rx_1,0.102,0.170,0.000
trace_013,hertzian_dipole_1,0.064,0.170,0.000
trace_013,rx_1,0.104,0.170,0.000
trace_014,hertzian_dipole_1,0.066,0.170,0.000
trace_014,rx_1,0.106,0.170,0.000
trace_015,hertzian_dipole_1,0.068,0.170,0.000
trace_015,rx_1,0.108,0.170,0.000
trace_016,hertzian_dipole_1,0.070,0.170,0.000
trace_016,rx_1,0.110,0.170,0.000
trace_017,hertzian_dipole_1,0.072,0.170,0.000
trace_017,rx_1,0.112,0.170,0.000
trace_018,hertzian_dipole_1,0.074,0.170,0.000
trace_018,rx_1,0.114,0.170,0.000
trace_019,hertzian_dipole_1,0.076,0.170,0.000
trace_019,rx_1,0.116,0.170,0.000
trace_020,hertzian_dipole_1,0.078,0.170,0.000
trace_020,rx_1,0.118,0.170,0.000
trace_021,hertzian_dipole_1,0.080,0.170,0.000
trace_021,rx_1,0.120,0.170,0.000
trace_022,hertzian_dipole_1,0.082,0.170,0.000
trace_022,rx_1,0.122,0.170,0.000
trace_023,hertzian_dipole_1,0.084,0.170,0.000
trace_023,rx_1,0.124,0.170,0.000
trace_024,hertzian_dipole_1,0.086,0.170,0.000
trace_024,rx_1,0.126,0.170,0.000
trace_025,hertzian_dipole_1,0.088,0.170,0.000
trace_025,rx_1,0.128,0.170,0.000
trace_026,hertzian_dipole_1,0.090,0.170,0.000
trace_026,rx_1,0.130,0.170,0.000
trace_027,hertzian_dipole_1,0.092,0.170,0.000
trace_027,rx_1,0.132,0.170,0.000
trace_028,hertzian_dipole_1,0.094,0.170,0.000
trace_028,rx_1,0.134,0.170,0.000
trace_029,hertzian_dipole_1,0.096,0.170,0.000
trace_029,rx_1,0.136,0.170,0.000
trace_030,hertzian_dipole_1,0.098,0.170,0.000
trace_030,rx_1,0.138,0.170,0.000
trace_031,hertzian_dipole_1,0.100,0.170,0.000
trace_031,rx_1,0.140,0.170,0.000
trace_032,hertzian_dipole_1,0.102,0.170,0.000
trace_032,rx_1,0.142,0.170,0.000
trace_033,hertzian_dipole_1,0.104,0.170,0.000
trace_033,rx_1,0.144,0.170,0.000
trace_034,hertzian_dipole_1,0.106,0.170,0.000
trace_034,rx_1,0.146,0.170,0.000
trace_035,hertzian_dipole_1,0.108,0.170,0.000
trace_035,rx_1,0.148,0.170,0.000
trace_036,hertzian_dipole_1,0.110,0.170,0.000
trace_036,rx_1,0.150,0.170,0.000
trace_037,hertzian_dipole_1,0.112,0.170,0.000
trace_037,rx_1,0.152,0.170,0.000
trace_038,hertzian_dipole_1,0.114,0.170,0.000
trace_038,rx_1,0.154,0.170,0.000
trace_039,hertzian_dipole_1,0.116,0.170,0.000
trace_039,rx_1,0.156,0.170,0.000
trace_040,hertzian_dipole_1,0.118,0.170,0.000
trace_040,rx_1,0.158,0.170,0.000
trace_041,hertzian_dipole_1,0.120,0.170,0.000
trace_041,rx_1,0.160,0.170,0.000
trace_042,hertzian_dipole_1,0.122,0.170,0.000
trace_042,rx_1,0.162,0.170,0.000
trace_043,hertzian_dipole_1,0.124,0.170,0.000
trace_043,rx_1,0.164,0.170,0.000
trace_044,hertzian_dipole_1,0.126,0.170,0.000
trace_044,rx_1,0.166,0.170,0.000
trace_045,hertzian_dipole_1,0.128,0.170,0.000
trace_045,rx_1,0.168,0.170,0.000
trace_046,hertzian_dipole_1,0.130,0.170,0.000
trace_046,rx_1,0.170,0.170,0.000
trace_047,hertzian_dipole_1,0.132,0.170,0.000
trace_047,rx_1,0.172,0.170,0.000
trace_048,hertzian_dipole_1,0.134,0.170,0.000
trace_048,rx_1,0.174,0.170,0.000
trace_049,hertzian_dipole_1,0.136,0.170,0.000
trace_049,rx_1,0.176,0.170,0.000
trace_050,hertzian_dipole_1,0.138,0.170,0.000
trace_050,rx_1,0.178,0.170,0.000
trace_051,hertzian_dipole_1,0.140,0.170,0.000
trace_051,rx_1,0.180,0.170,0.000
trace_052,hertzian_dipole_1,0.142,0.170,0.000
trace_052,rx_1,0.182,0.170,0.000
trace_053,hertzian_dipole_1,0.144,0.170,0.000
trace_053,rx_1,0.184,0.170,0.000
trace_054,hertzian_dipole_1,0.146,0.170,0.000
trace_054,rx_1,0.186,0.170,0.000
trace_055,hertzian_dipole_1,0.148,0.170,0.000
trace_055,rx_1,0.188,0.170,0.000
trace_056,hertzian_dipole_1,0.150,0.170,0.000
trace_056,rx_1,0.190,0.170,0.000
trace_057,hertzian_dipole_1,0.152,0.170,0.000
trace_057,rx_1,0.192,0.170,0.000
trace_058,hertzian_dipole_1,0.154,0.170,0.000
trace_058,rx_1,0.194,0.170,0.000
trace_059,hertzian_dipole_1,0.156,0.170,0.000
trace_059,rx_1,0.196,0.170,0.000
trace_060,hertzian_dipole_1,0.158,0.170,0.000
trace_060,rx_1,0.198,0.170,0.000
